Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,avy,0,0,0,0,12310000000.0,14170000000.0,23.62,21.23,4.92,1.84,9.23,2.1,15.49,7.8,11.82,9.02,44.05,6750000000.0,80.98,-1.8,1900000000.0,973100000.0,526900000.0,6.26,4.1,316800000.0,3.8,2160000000.0,161.76,1.31,15.99,721300000.0,484940000.0,1.0,138.02,121.19,83420000.0,83420000.0,82880000.0,0.64,92.35,1.28,1.28,1.07,2.48
0,0,axp,0,0,0,0,92590000000.0,,28.46,17.27,1.9,3.3,4.23,,,10.52,14.32,1.78,15.1,32240000000.000004,39.94,-20.0,27320000000.0,,3280000000.0,4.06,-38.9,33180000000.0,41.21,46630000000.0,213.24,1.5,27.17,5290000000.0,,1.22,103.15,98.79,4380000.0,805200000.0,651610000.0,0.1,86.77,7870000.0,2.01,1.2,7640000.0
0,0,azo,0,0,0,0,26880000000.0,33430000000.0,16.12,15.5,1.34,2.21,,2.65,11.85,13.72,19.8,12.86,,12630000000.0,536.62,14.0,6770000000.0,2900000000.0,1730000000.0,71.93,31.0,1830000000.0,78.83,8460000000.000001,,1.08,-37.56,2720000000.0,1760000000.0,0.92,1158.96,1153.67,23380000.0,23380000.0,23090000.0,0.35,94.02,2.65,2.65,2.19,
0,0,ba,0,0,0,0,99760000000.0,133610000000.00002,,49.26,6.53,1.64,,2.2,-31.83,-7.34,-11.32,-2.92,,60760000000.0,107.34,-29.2,4760000000.0,-4580000000.0,-4460000000.0,-7.89,,27120000000.0,48.03,60960000000.0,,1.42,-20.94,-16620000000.000002,-15950000000.0,1.39,166.85,167.08,21980000.0,564530000.0,533039999.99999994,0.12,53.07,11080000.0,0.55,1.96,9720000.0
0,0,bac,0,0,0,0,233570000000.0,,13.37,12.82,3.77,2.73,0.95,,,25.69,28.75,0.75,7.23,75570000000.0,8.56,-5.1,85580000000.0,,18010000000.0,2.03,-15.5,815050000000.0,94.22,529030000000.0,,,28.33,42500000000.0,,1.57,24.92,24.71,61090000.0,8650000000.0,8630000000.0,0.1,71.25,73100000.0,1.24,0.95,67130000.0
0,0,bax,0,0,0,0,42070000000.0,44690000000.0,46.53,22.88,2.55,3.69,4.91,3.88,24.55,7.9,16.81,6.48,11.35,11530000000.0,22.69,4.2,4920000000.0,2760000000.0,911000000.0,1.77,-3.5,4360000000.0,8.53,7160000000.0,83.19,2.64,16.77,1980000000.0,1030000000.0,0.73,79.97,83.84,3030000.0,510820000.0,509810000.0,0.14,88.68,6050000.0,2.37,1.19,4440000.0
0,0,bbby,0,0,0,0,2490000000.0,4500000000.0,,34.6,1.01,0.25,1.47,0.46,37.77,-1.91,-1.64,-1.31,-10.46,9860000000.0,79.8,-1.2,3540000000.0,182010000.0,-188360000.0,-1.53,,1440000000.0,11.58,3560000000.0,209.65,1.5,13.63,483900000.0,336950000.0,2.33,21.35,12.95,10050000.0,126010000.0,119690000.0,5.77,115.76,66239999.99999999,4.5,69.25,67770000.0
0,0,bbry,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,bbt,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,bby,0,0,0,0,29510000000.0,28390000000.0,18.54,16.75,1.94,0.69,7.81,0.65,9.4,3.75,4.96,8.31,46.13,43430000000.0,166.6,3.9,10050000000.0,2980000000.0,1630000000.0,6.18,81.5,5430000000.0,20.98,4190000000.0000005,110.99,1.06,14.64,5730000000.0,4590000000.0,1.76,116.14,99.28,2440000.0,258829999.99999997,231470000.0,11.41,80.9,5440000.0,2.77,2.68,5310000.0
